TagName	TagIndex	TagType	TagDataType
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\ALARM_TAGS\FT2001LL_Alarm	67	3	-1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\ALARM_TAGS\LS1001H_Alarm	68	3	-1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\ALARM_TAGS\LS1002H_Alarm	69	3	-1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\ALARM_TAGS\LS1003H_Alarm	70	3	-1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\ALARM_TAGS\LS1004HH_Alarm	71	3	-1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\ALARM_TAGS\LS2001L_Alarm	72	3	-1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\ALARM_TAGS\LT1001L_Alarm	73	3	-1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\ALARM_TAGS\LT1001LL_Alarm	74	3	-1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\ALARM_TAGS\PT1001L_Alarm	75	3	-1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\ALARM_TAGS\PT1001LL_Alarm	76	3	-1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\ALARM_TAGS\PT1002HH_Alarm	77	3	-1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\ALARM_TAGS\PT1003HH_Alarm	78	3	-1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\ALARM_TAGS\PT2001HH_Alarm	79	3	-1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\ALARM_TAGS\PT2002L_Alarm	80	3	-1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\ALARM_TAGS\PT2002LL_Alarm	81	3	-1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\ALARM_TAGS\TT1001H_Alarm	82	3	-1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\ALARM_TAGS\TT1001HH_Alarm	83	3	-1
